22:38:18.07,->,ID,,DLC,,,DATA,,,,
22:38:25.79,->,540,8,2,0,0,1,11,0,1,D7
22:38:25.82,->,540,8,6,0,0,0,0,0,0,0
22:38:25.82,->,550,8,10,0,0,0,0,0,0,50
22:38:25.85,->,450,8,0,0,0,0,0,0,B,0
22:38:25.89,->,541,8,2,0,0,0,0,0,FF,FF
22:38:25.92,->,540,8,6,0,0,0,0,0,0,0
22:38:25.92,->,550,8,10,0,0,0,0,0,0,90
22:38:25.95,->,450,8,0,0,0,0,0,0,B,0
22:38:25.98,->,540,8,4,0,0,0,0,0,0,0
22:38:26.02,->,540,8,6,0,0,0,0,0,0,0
22:38:26.05,->,550,8,10,0,0,0,0,0,0,D0
22:38:26.05,->,450,8,0,0,0,0,0,0,B,0
22:38:26.08,->,540,8,4,0,0,0,0,0,0,0
22:38:26.12,->,540,8,6,0,0,0,0,0,0,0
22:38:26.15,->,550,8,10,0,0,0,0,0,0,50
22:38:26.15,->,450,8,0,0,0,0,0,0,B,0
22:38:26.18,->,540,8,4,0,0,0,0,0,0,0
22:38:26.22,->,540,8,6,0,0,0,0,0,0,0
22:38:26.25,->,550,8,10,0,0,0,0,0,0,90
22:38:26.28,->,450,8,0,0,0,0,0,0,B,0
22:38:26.28,->,540,8,4,0,0,0,0,0,0,0
22:38:26.32,->,540,8,6,0,0,0,0,0,0,0
22:38:26.35,->,550,8,10,0,0,0,0,0,0,D0
22:38:26.38,->,450,8,0,0,0,0,0,0,B,0
22:38:26.38,->,540,8,6,0,0,0,0,0,0,0
22:38:26.42,->,450,8,0,0,0,0,0,0,B,0
22:38:26.45,->,550,8,10,0,0,0,0,0,0,50
22:38:26.48,->,450,8,0,0,0,0,0,0,B,0
22:38:26.48,->,540,8,6,0,0,0,0,0,0,0
22:38:26.52,->,450,8,0,0,0,0,0,0,B,0
22:38:26.55,->,550,8,10,0,0,0,0,0,0,90
22:38:26.58,->,450,8,0,0,0,0,0,0,B,0
22:38:26.58,->,540,8,6,0,0,0,0,0,0,0
22:38:26.62,->,550,8,10,0,0,0,0,0,0,D0
22:38:26.65,->,450,8,0,0,0,0,0,0,B,0
22:38:26.68,->,540,8,2,0,0,1,11,0,1,D7
22:38:26.72,->,540,8,6,0,0,0,0,0,0,0
