22:24:21.95,->,ID,,DLC,,,DATA,,,,,
22:24:28.23,->,540,8,2,0,0,1,11,0,1,5E,
22:24:28.26,->,540,8,4,0,0,0,0,0,0,0,
22:24:28.26,->,540,8,6,0,0,0,0,0,0,0,
22:24:28.29,->,550,8,10,0,0,0,0,0,0,D0,
22:24:28.33,->,540,8,2,0,0,1,11,0,1,5E,
22:24:28.36,->,540,8,4,0,0,0,0,0,0,0,
22:24:28.36,->,540,8,6,0,0,0,0,0,0,0,
22:24:28.39,->,550,8,10,0,0,0,0,0,0,50,
22:24:28.43,->,540,8,2,0,0,1,11,0,1,5E,
22:24:28.46,->,540,8,4,0,0,0,0,0,0,0,
22:24:28.49,->,540,8,6,0,0,0,0,0,0,0,
22:24:28.49,->,550,8,10,0,0,0,0,0,0,90,
22:24:28.53,->,540,8,2,0,0,1,11,0,1,5E,
22:24:28.56,->,540,8,6,0,0,0,0,0,0,0,
22:24:28.59,->,450,8,0,0,0,0,0,0,B,0,
22:24:28.59,->,550,8,10,0,0,0,0,0,0,D0,
22:24:28.63,->,540,8,2,0,0,1,11,0,1,5E,
22:24:28.66,->,540,8,6,0,0,0,0,0,0,0,
22:24:28.69,->,450,8,0,0,0,0,0,0,B,0,
22:24:28.73,->,550,8,10,0,0,0,0,0,0,50,
22:24:28.73,->,540,8,2,0,0,1,11,0,1,5E,
22:24:28.76,->,540,8,6,0,0,0,0,0,0,0,
22:24:28.79,->,550,8,10,0,0,0,0,0,0,90,
22:24:28.83,->,540,8,2,0,0,1,11,0,1,5E,
22:24:28.86,->,550,8,10,0,0,0,0,0,0,B0,
22:24:28.86,->,540,8,6,0,0,0,0,0,0,0,
22:24:28.89,->,550,8,10,0,0,0,0,0,0,D0,
22:24:28.92,->,540,8,2,0,0,1,11,0,1,5E,
22:24:28.96,->,540,8,4,0,0,0,0,0,0,0,
22:24:28.99,->,540,8,6,0,0,0,0,0,0,0,
22:24:28.99,->,550,8,10,0,0,0,0,0,0,50,
22:24:29.02,->,540,8,2,0,0,1,11,0,1,5E,
22:24:29.06,->,540,8,4,0,0,0,0,0,0,0,
22:24:29.09,->,540,8,6,0,0,0,0,0,0,0,
22:24:29.09,->,550,8,10,0,0,0,0,0,0,90,
22:24:29.13,->,540,8,2,0,0,1,11,0,1,5E,
22:24:29.16,->,540,8,6,0,0,0,0,0,0,0,
22:24:29.19,->,450,8,0,0,0,0,0,0,B,0,
22:24:29.22,->,550,8,10,0,0,0,0,0,0,D0,
22:24:29.22,->,540,8,2,0,0,1,11,0,1,5E,
22:24:29.26,->,540,8,6,0,0,0,0,0,0,0,
22:24:29.29,->,450,8,0,0,0,0,0,0,B,0,
22:24:29.32,->,550,8,10,0,0,0,0,0,0,50,
22:24:29.32,->,540,8,2,0,0,1,11,0,1,5E,
22:24:29.36,->,540,8,6,0,0,0,0,0,0,0,
22:24:29.39,->,550,8,10,0,0,0,0,0,0,90,
22:24:29.42,->,540,8,2,0,0,1,11,0,1,5E,
22:24:29.46,->,540,8,4,0,0,0,0,0,0,0,
22:24:29.46,->,540,8,6,0,0,0,0,0,0,0,
22:24:29.49,->,550,8,10,0,0,0,0,0,0,D0,
22:24:29.52,->,540,8,2,0,0,1,11,0,1,5E,
22:24:29.56,->,540,8,4,0,0,0,0,0,0,0,
22:24:29.59,->,540,8,6,0,0,0,0,0,0,0,
22:24:29.59,->,550,8,10,0,0,0,0,0,0,50,
22:24:29.62,->,540,8,2,0,0,1,11,0,1,5E,
22:24:29.66,->,540,8,4,0,0,0,0,0,0,0,
22:24:29.69,->,540,8,6,0,0,0,0,0,0,0,
22:24:29.69,->,550,8,10,0,0,0,0,0,0,90,
22:24:29.72,->,540,8,2,0,0,1,11,0,1,5E,
